0x803d30,Name value,Description value,Character Number,Class (support viewer only),Portrait (Zero is Default),Mini Portrait (Zero is Default),Affinity,Units Screen Priority,Level,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Defense,Base Resistance,Base Luck,Constitution Bonus,Sword Level,Lance Level,Axe Level,Bow Level,Staff Level,Anima Level,Light Level,Dark Level,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Defense Growth,Magic Defense Growth,Luck Growth,SkillList Pointer,PersonalSkill,Ability,Character Ability 1,Character Ability 2,Character Ability 3,Character Ability 4,Supports Data Pointer,T1 Class,T1 Palette,T2 Class1,T2 Palette1,T2 Class2,T2 Palette2,T3 Class1,T3 Palette1,T3 Class2,T3 Palette2,T3 Class3,T3 Palette3,T3 Class4,T3 Palette4,EscapeQuoteText ID,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN1*** (Zero),***UNKNOWN2*** (Zero),***UNKNOWN3*** (Zero),***UNKNOWN4*** (Zero),***UNKNOWN5*** (Zero)
0x76,0x267,0x0,0x76,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x77,0x267,0x0,0x77,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x78,0x267,0x0,0x78,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x79,0x267,0x0,0x79,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x7A,0x267,0x0,0x7a,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x7B,0x267,0x0,0x7b,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x7C,0x267,0x0,0x7c,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x7D,0x267,0x0,0x7d,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x7E,0x267,0x0,0x7e,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x7F,0x24d,0x2a9,0x7f,0x5,0x0,0x3,0,0x0,1,3,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x80,0x24d,0x2a9,0x80,0x3f,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x81,0x24d,0x2a9,0x81,0x19,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x82,0x24d,0x2a9,0x82,0x3f,0x0,0x3,0,0x0,1,2,0,0,-1,-3,3,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x83,0x24d,0x2a9,0x83,0x4e,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x84,0x24d,0x2a9,0x84,0x9,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x85,0x24d,0x2a9,0x85,0x5,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x86,0x24d,0x2a9,0x86,0x13,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x87,0x24d,0x2a9,0x87,0xf,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x88,0x24d,0x2a9,0x88,0xd,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x89,0x24d,0x2a9,0x89,0x25,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x8A,0x24d,0x2a9,0x8a,0x44,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x8B,0x24d,0x2a9,0x8b,0x2d,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x8C,0x24d,0x2a9,0x8c,0x4b,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x8D,0x24e,0x2aa,0x8d,0x9,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x8E,0x254,0x2ae,0x8e,0x41,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x8F,0x24e,0x2aa,0x8f,0x5,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x90,0x24e,0x2aa,0x90,0x2d,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x91,0x24e,0x2aa,0x91,0x25,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x92,0x267,0x0,0x92,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x93,0x267,0x0,0x93,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x94,0x267,0x0,0x94,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x95,0x267,0x0,0x95,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x96,0x267,0x0,0x96,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x97,0x267,0x0,0x97,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x98,0x267,0x0,0x98,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x99,0x267,0x0,0x99,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x9A,0x267,0x0,0x9a,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x9B,0x267,0x0,0x9b,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x9C,0x267,0x0,0x9c,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x9D,0x267,0x0,0x9d,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x9E,0x267,0x0,0x9e,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0x9F,0x267,0x0,0x9f,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA0,0x267,0x0,0xa0,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA1,0x267,0x0,0xa1,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA2,0x267,0x0,0xa2,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA3,0x267,0x0,0xa3,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA4,0x267,0x0,0xa4,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA5,0x267,0x0,0xa5,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA6,0x267,0x0,0xa6,0x41,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA7,0x253,0x2ab,0xa7,0xf,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA8,0x251,0x2af,0xa8,0xf,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xA9,0x252,0x2b0,0xa9,0xf,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xAA,0x255,0x2b1,0xaa,0x52,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xAB,0x255,0x2b1,0xab,0x53,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xAC,0x255,0x2b1,0xac,0x54,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xAD,0x255,0x2b1,0xad,0x55,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xAE,0x255,0x2b1,0xae,0x56,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xAF,0x255,0x2b1,0xaf,0x57,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xB0,0x255,0x2b1,0xb0,0x58,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xB1,0x255,0x2b1,0xb1,0x59,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xB2,0x255,0x2b1,0xb2,0x5a,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,30,35,15,15,25,0,0x0,NoAbility,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
